AlphaNAFODivision,AlphaUnitArea,NumericNAFODivision,NumericUnitArea
UB,,6,
HS,,7,
0,,9,
1A,,11,
1B,,12,
1C,,13,
1D,,14,
1E,,15,
1F,,16,
2G,,21,
2G,GA,21,223
2G,GB,21,224
2G,GC,21,221
2G,GD,21,222
2G,GE,21,218
2G,GF,21,219
2G,GP,21,220
2H,HA,22,215
2H,HB,22,216
2H,HC,22,217
2H,HD,22,212
2H,HE,22,213
2H,HF,22,214
2J,JA,23,209
2J,JB,23,210
2J,JC,23,211
2J,JD,23,208
2J,JE,23,207
2J,JF,23,206
2J,JG,23,205
2J,JI,23,202
2J,JL,23,204
2J,JM,23,201
2J,JN,23,203
3K,,31,
3K,KA,31,342
3K,KB,31,343
3K,KC,31,347
3K,KD,31,341
3K,KE,31,344
3K,KF,31,345
3K,KG,31,346
3K,KH,31,340
3K,KI,31,339
3L,LA,32,338
3L,LB,32,337
3L,LC,32,331
3L,LD,32,330
3L,LE,32,325
3L,LF,32,336
3L,LG,32,332
3L,LH,32,329
3L,LI,32,326
3L,LJ,32,335
3L,LQ,32,334
3L,LR,32,328
3L,LS,32,333
3L,LT,32,327
3M,MA,33,324
3M,MB,33,323
3M,MC,33,321
3M,MD,33,322
3N,,34,
3N,NA,34,315
3N,NB,34,320
3N,NC,34,316
3N,ND,34,319
3N,NE,34,317
3N,NF,34,318
3O,OA,35,310
3O,OB,35,314
3O,OC,35,311
3O,OD,35,313
3O,OE,35,312
3Pn,PN,36,301
3Ps,PA,37,302
3Ps,PB,37,303
3Ps,PC,37,304
3Ps,PD,37,307
3Ps,PE,37,306
3Ps,PF,37,305
3Ps,PG,37,308
3Ps,PH,37,309
4R,RA,41,401
4R,RB,41,402
4R,RC,41,403
4R,RD,41,404
4S,SX,42,416
4S,SY,42,417
4S,SV,42,418
4S,SW,42,419
4T,TF,43,405
4T,TG,43,406
4T,TH,43,407
4T,TJ,43,408
4T,TK,43,409
4T,TL,43,410
4T,TM,43,411
4T,TN,43,412
4T,TO,43,413
4Vn,VN,44,420
4Vs,,45,
4Vs,VB,45,421
4Vs,VC,45,422
4W,WD,46,423
4W,WE,46,424
4W,WF,46,425
4W,WG,46,426
4W,WH,46,427
4W,WJ,46,428
4W,WK,46,429
4W,WL,46,430
4X,,47,
4X,XN,47,432

