QuotaCode,QuotaName,Comments
1,Bulgaria
2,Canada  (Maritimes & Quebec)
3,Canada  (Newfoundland)
4,Cuba
5,Denmark  (Faroe Islands)
6,Denmark  (Greenland)
7,Denmark  (mainland)
8,France  (mainland)
9,France  (St. Pierre & Michelon)
10,Federal Republic of Germany,
11,(Former)  German Democratic Republic
12,Iceland
13,Italy
14,Japan
15,Norway
16,Poland
17,Portugal
18,Romania
19,Spain
20,(former)  Union of Soviet Socialist Republics
21,United Kingdom
22,United States of America
23,Israel
24,Ireland
25,South Korea
30,Netherlands  (EEC)
31,Latvia
32,Estonia
33,Lithuania
34,Russia
40,Canada  (Central & Arctic),Code #40 started in 2006
50,Taiwan
